OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
289258837,1,Eads St & 15th St S,31000,38.858971,-77.05323,YES,NO,,,NO,4,11,395379.9686,132352.1169,,
289258838,2,18th St & S Eads St,31001,38.85725,-77.05332,YES,NO,,,NO,3,8,395372.0456,132161.0781,,
289258839,3,Crystal Dr & 20th St S,31002,38.856425,-77.049232,YES,NO,,,NO,10,7,395726.8176,132069.2979,,
289258840,4,Crystal Dr & 15th St S,31003,38.86017,-77.049593,YES,NO,,,NO,10,1,395695.7098,132485.0368,,
289258841,5,Aurora Hills Cmty Ctr / 18th St & S Hayes St,31004,38.857866,-77.05949,YES,NO,,,NO,9,1,394836.5599,132229.7894,,
289258842,6,Pentagon City Metro / 12th St & S Hayes St,31005,38.862303,-77.059936,YES,NO,,,NO,14,5,394798.1726,132722.3538,,
289258843,7,Army Navy Dr & S Joyce St,31006,38.8637,-77.0633,YES,NO,,,NO,6,9,394506.3197,132877.628,,
289258844,8,Crystal City Metro / 18th St & S Bell St,31007,38.857405,-77.051132,YES,NO,,,NO,2,17,395561.9645,132178.1755,,
289258845,10,Crystal Dr & 27th St S,31009,38.848466,-77.051514,YES,NO,,,NO,4,7,395528.2486,131185.9017,,
289258846,11,S Glebe Rd & Potomac Ave,31010,38.8426,-77.0502,YES,NO,,,NO,8,3,395641.9543,130534.6713,,
289258847,12,Crystal Dr & 23rd St S,31011,38.8533,-77.0498,YES,NO,,,NO,13,3,395677.3277,131722.4273,,
289258848,13,Clark St & 26th St S,31012,38.850688,-77.05152,YES,NO,,,NO,8,3,395527.867,131432.5597,,
289258849,14,19th St & Pennsylvania Ave NW,31100,38.9003,-77.0429,YES,NO,,,NO,6,9,396278.704,136939.4783,,DC
289258850,15,14th & V St NW,31101,38.917931,-77.032112,YES,NO,,,NO,17,13,397215.1813,138896.2792,,DC
289258851,16,11th & Kenyon St NW,31102,38.929464,-77.027822,YES,NO,,,NO,10,17,397587.6091,140176.4181,,DC
289258852,17,16th & Harvard St NW,31103,38.926088,-77.036536,YES,NO,,,NO,11,22,396831.8853,139801.9194,,DC
289258853,18,Adams Mill & Columbia Rd NW,31104,38.922925,-77.042581,YES,NO,,,NO,5,10,396307.5467,139451.0267,,DC
289258854,19,14th & Harvard St NW,31105,38.9268,-77.0322,YES,NO,,,NO,8,10,397207.897,139880.816,,DC
289258855,20,Calvert & Biltmore St NW,31106,38.923203,-77.047637,YES,NO,,,NO,6,17,395869.1268,139482.1037,,DC
289258856,21,Lamont & Mt Pleasant NW,31107,38.9319,-77.0388,YES,NO,,,NO,0,17,396635.8432,140447.1824,,DC
289258857,22,4th & M St SW,31108,38.8767,-77.0178,YES,NO,,,NO,9,13,398455.4549,134318.9706,,DC
289258858,23,15th & P St NW,31201,38.90985,-77.034438,YES,NO,,,NO,10,8,397013.1273,137999.2948,,DC
289258859,24,14th & R St NW,31202,38.912681,-77.032523,YES,NO,,,NO,4,11,397179.3309,138313.4982,,DC
289258860,25,14th & Rhode Island Ave NW,31203,38.9086,-77.0323,YES,NO,,,NO,16,7,397198.511,137860.4668,,DC
289258861,26,20th & E St NW,31204,38.8963,-77.045,YES,NO,,,NO,9,6,396096.3238,136495.5341,,DC
289258862,27,21st & I St NW,31205,38.900711,-77.046449,YES,NO,,,NO,8,27,395970.8746,136985.2532,,DC
289258863,28,Georgia & New Hampshire Ave NW,31400,38.936043,-77.024649,YES,NO,,,NO,6,9,397862.9308,140906.6651,,DC
289258864,29,14th St & Spring Rd NW,31401,38.9375,-77.0328,YES,NO,,,NO,7,12,397156.297,141068.6272,,DC
289258865,30,John McCormack Dr & Michigan Ave NE,31502,38.9346,-76.9955,YES,NO,,,NO,0,10,400390.1581,140746.2006,,DC
289258866,31,5th & K St NW,31600,38.90304,-77.019027,YES,NO,,,NO,5,12,398349.5948,137242.9379,,DC
289258867,32,19th & East Capitol St SE,31601,38.8896,-76.9769,YES,NO,,,NO,5,9,402004.0754,135751.0727,,DC
289258868,33,Park Rd & Holmead Pl NW,31602,38.9308,-77.0315,YES,NO,,,NO,3,16,397268.7481,140324.8292,,DC
289258869,34,Good Hope & Naylor Rd SE,31700,38.860227,-76.966572,YES,NO,,,NO,6,5,402901.2906,132490.7262,,DC
289258870,35,Connecticut Ave & Newark St NW / Cleveland Park,31305,38.934267,-77.057979,YES,NO,,,NO,2,9,394973.0937,140710.8214,,DC
289258871,36,Randle Circle & Minnesota Ave SE,31702,38.878,-76.9607,YES,NO,,,NO,3,8,403410.0851,134463.8639,,DC
289258872,37,Minnesota Ave Metro/DOES,31703,38.897063,-76.947446,YES,NO,,,NO,5,10,404558.9245,136580.5833,,DC
289258873,38,Nannie Helen Burroughs & Minnesota Ave NE,31704,38.901385,-76.941877,YES,NO,,,NO,6,5,405041.7154,137060.6526,,DC
289258874,39,Anacostia Metro,31801,38.862669,-76.994637,YES,NO,,,NO,3,8,400465.4508,132761.2885,,DC
289258875,40,Good Hope Rd & MLK Ave SE,31802,38.867373,-76.988039,YES,NO,,,NO,8,3,401038.0179,133283.5213,,DC
289258876,41,19th & E Street NW,31206,38.8952,-77.0436,YES,NO,,,NO,7,4,396217.7132,136373.3665,,DC
289258877,42,4th & W St NE,31500,38.919077,-77.000648,YES,NO,,,NO,11,4,399943.805,139023.0053,,DC
289258878,43,10th & U St NW,31111,38.9172,-77.0259,YES,NO,,,NO,12,3,397753.8756,138814.961,,DC
289258879,44,Georgia Ave and Fairmont St NW,31207,38.9249,-77.0222,YES,NO,,,NO,7,4,398074.9584,139669.6414,,DC
289258880,45,1st & N St  SE,31209,38.8743,-77.0057,YES,NO,,,NO,22,17,399505.3818,134052.4174,,DC
289258881,46,20th St & Florida Ave NW,31110,38.9154,-77.0446,YES,NO,,,NO,6,9,396132.059,138615.7722,,DC
289258882,47,7th & T St NW,31109,38.9155,-77.0222,YES,NO,,,NO,12,2,398074.7047,138626.1622,,DC
289258883,48,Eads St & 22nd St S,31013,38.854381,-77.053412,YES,NO,,,NO,10,5,395363.874,131842.6032,,
289258884,49,M St & New Jersey Ave SE,31208,38.8763,-77.0037,YES,NO,,,NO,16,1,399678.9411,134274.4235,,DC
289258885,51,Massachusetts Ave & Dupont Circle NW,31200,38.9101,-77.0444,YES,NO,,,NO,30,15,396149.1179,138027.4199,,DC
289258886,52,1st & M St NE,31603,38.9057,-77.0056,YES,NO,,,NO,13,1,399514.2732,137538.0624,,DC
289258887,53,21st & M St NW,31212,38.90534,-77.046774,YES,NO,,,NO,14,5,395942.9464,137499.1239,,DC
289258888,54,17th & K St NW,31213,38.90276,-77.03863,YES,NO,,,NO,16,6,396649.2143,137212.3926,,DC
289258889,55,3rd & H St NW,31604,38.899408,-77.015289,YES,NO,,,NO,4,10,398673.7621,136839.6958,,DC
289258890,56,3rd & D St SE,31605,38.8851,-77.0023,YES,NO,,,NO,0,9,399800.4474,135251.2867,,DC
289258891,57,Potomac & Pennsylvania Ave SE,31606,38.8803,-76.9862,YES,NO,,,NO,7,7,401197.3959,134718.5379,,DC
